Column1,Column2,Column3,Column4,Column5
1366990282298855426 ,2021-03-03 ,11:24:15 ,+0530 ,<mdaeconomics> Ajit Ranade conducted a session recently at MDAE about the Economics of the Farm Laws.  You can listen to the entire session here:  https://t.co/mlmGyR9pE1 . . . . #FarmLaws #indianfarmersprotest #IndianFarmLaw #MSP #EconomicsInsights #AjitRanade #IndianEconomist  https://t.co/VUWKLLdjvB
1366884621451943939 ,2021-03-03 ,04:24:23 ,+0530 ,<marchforfarmers> ITV News - How the Indian farmers' protests are affecting British Indians |  https://t.co/WhT7IcmbBO via @YouTube  #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest
1366632947764383749 ,2021-03-02 ,11:44:20 ,+0530 ,"<marchforfarmers> BBC, ITV AND ABC new channels, world news on Farmers protest  https://t.co/MUrRiIF6Ch via @YouTube  #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest"
1366349050254090240 ,2021-03-01 ,16:56:13 ,+0530 ,<mayaxisabellaa> My article for @thefleajournal is one very close to my heart - about the #indianfarmersprotest and the legacy of empire in Britain. Click the link to read:  https://t.co/5UHbHhd785  #IStandWithFarmers
1366040580044775428 ,2021-02-28 ,20:30:28 ,+0530 ,"<marchforfarmers> Thank you, GUYANA for your continued support towards the Farmers Protest in India. #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest  https://t.co/bb1Px8RQyE"
1365929224960421890 ,2021-02-28 ,13:07:59 ,+0530 ,<marchforfarmers> AMERICAN DOCTOR HEALING INDIAN FARMERS| Leher  https://t.co/7qsUWuKQL0 via @YouTube  #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest
1365879560768794625 ,2021-02-28 ,09:50:38 ,+0530 ,"<marchforfarmers> Thank you, CANADA for your continued support towards the Farmers Protest in India. #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest  https://t.co/PegH08Vltq"
1365876017689104387 ,2021-02-28 ,09:36:34 ,+0530 ,"<Surjeet00639403> वो करते है हिंदू मुसलमान , हम कहते है किसान नौजवान - #किसान_मज़दूर_एकता_ज़िन्दाबाद #जय_जवान_जय_किसान #किसान_एकता_जिंदाबाद #किसान_आंदोलन #भारतीय_किसान #किसान_आंदोलन_जारी_रहेगा #किसान #IndianFarmersRevolution2021 #IndianFarmersProtest #FarmersProtest #StandWithFarmers #India #Delhi  https://t.co/KhVirJWd8b"
1365860657933991938 ,2021-02-28 ,08:35:31 ,+0530 ,"<marchforfarmers> Farmers Protest in San Francisco, USA #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest  https://t.co/ahMPlnjJXs"
1365855681991991302 ,2021-02-28 ,08:15:45 ,+0530 ,<sathiyamnews> விவசாயிகள் போராட்டம் : இன்று 95வது நாள்   #farmersprotest #delhifarmers #farmersindelhi #indianfarmersprotest   https://t.co/IaB3yvCloG
1365540534857719809 ,2021-02-27 ,11:23:28 ,+0530 ,"<WikiDeol> ਝੂਠੀਆਂ ਦਾ ਤਾਂ ਖੇਲ ਤਮਾਸ਼ਾ,                ਰਹਿਣ ਬਦਲਦੇ, ਮਿੰਟ ਚ ਪਾਸਾ, ਦੇਖ ਜ਼ਾਲਮਾ, ਖੋਲ ਕੇ ਅੱਖਾਂ,                    ਸੱਚੇ ਚਿਹਰੇ , ਸੱਚਾ ਦਾ ਹਾਸਾ. #IndianFarmersProtest #NoFarmersNoFood #FarmersProtest  https://t.co/Is0VWbUTyx"
1365503742657716228 ,2021-02-27 ,08:57:16 ,+0530 ,<Surjeet00639403> #मजदूर_किसान_एकता_दिवस  #किसान_आंदोलन_जारी_रहेगा #मज़दूर_किसान_एकता_ज़िन्दाबाद #MajdoorKisanEktaDiwas #KisanMajdoorEktaZindabaad #IndianFarmersRevolution2021 #IndianFarmersProtest #FarmersLaboursUnites #FarmersLaboursUnity #FarmersProtest #KisanAndolan #India #Delhi #India2021  https://t.co/2I4S9WfFNZ
1365459028843839489 ,2021-02-27 ,05:59:36 ,+0530 ,"<marchforfarmers> March For Farmers by Sikh Spiritual Center on Feb 27 at 11.00 in 9 Carrier Dr, Etobicoke, Toronto #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #IndianFarmersProtest  https://t.co/LUeX55PMBY"
1365398543649939459 ,2021-02-27 ,01:59:15 ,+0530 ,"<KhannaSimret> @PreetKGillMP @AppgBritSikhs @StylistMagazine @DominicRaab What a great pic #IndianFarmersProtest . Do let us know the outcome of the meeting with @DominicRaab. Why is the UK Govt not saying or doing anything? Is it a 'Trade Secret', one wonders?"
1365307071449747475 ,2021-02-26 ,19:55:46 ,+0530 ,<RK000120> #IndianFarmersProtest
1365290488509702156 ,2021-02-26 ,18:49:52 ,+0530 ,<PreetKGillMP> Great to see this piece in the @StylistMagazine on the #IndianFarmersProtest. Here's why I'm calling on @DominicRaab to meet with us and explain what the Government is currently doing about concerning new developments 👇  https://t.co/FZrY8phUsN
1365154967640813571 ,2021-02-26 ,09:51:22 ,+0530 ,"<marchforfarmers> Thank you, USA for your continued support towards the Farmers Protest in India. #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest  https://t.co/0BOd5hB5yQ"
1365146957279334406 ,2021-02-26 ,09:19:32 ,+0530 ,"<marchforfarmers> Thank you, Guyana for your continued support towards the Farmers Protest in India. #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest  https://t.co/FfNklOEaaZ"
1364964889375219720 ,2021-02-25 ,21:16:04 ,+0530 ,<kevint905> #India wants more #censorship. #Indianfarmersprotest is making them sweat.  https://t.co/Oqm6G6GjNg   #freespeech #freedomofspeech #socialmedia #standwithindianfarmers
1364774055308582921 ,2021-02-25 ,08:37:45 ,+0530 ,"<LordSophia666> What is really going on in India with this Indian Farmers' Protest. Mainstream media is siding with India's Government and I wanna hear from someone that has a honest, non-biased opinion on it. #IndianFarmersProtest"
1364316264676532226 ,2021-02-24 ,02:18:39 ,+0530 ,"<mike_youngblood> #IndianFarmersProtest may be the largest protest in human history. Yesterday's in-depth piece from @world_affairs, puts the protest in context of Indian economy, society, power structures, &amp; big tech. Short vers: it's complicated."
1364187471140040706 ,2021-02-23 ,17:46:53 ,+0530 ,<TamilAvaniNews> பஞ்சாபில் ஒரு இலட்சம் விவசாயிகள் திரண்டு மாபெரும் போராட்டம்  https://t.co/GUYunoBLlu #India #IndianFarmersProtest #NewDelhi #Punjab #TamilAvaniNews
1364133449422970884 ,2021-02-23 ,14:12:13 ,+0530 ,<Surjeet00639403> #UNITY #UNITE #UNITED #IndianFarmersRevolution2021 #IndianFarmersRevolt #IndianFarmersProtest #FarmersProtest #FarmersLaboursUnited #KisanMajdoorEktaZindabaad #IStandWithFarmers #AllAreOne #CountryStandWithFarmerS #NationStandWithFarmers #IndiaStandWithFarmers #India #India2021  https://t.co/FbLpvb7zy4
1364093453383069708 ,2021-02-23 ,11:33:17 ,+0530 ,<Surjeet00639403> ( पगड़ी संभाल जट्टा - सरदार अजीत सिंह जी ) ( Pagdi Samhal Jatta - Sardar Ajit Singh Ji  #SardarAjitSinghJi #Pagdi_Sambhal_Jatta #पगड़ी_संभाल_जट्टा #SaveFarmers #SaveFarming #KisanMajdoorEktaZindabaad #FarmersProtest #Kisan #IndianFarmersRevolution2021 #IndianFarmersProtest #किसान  https://t.co/zB2tYKZz1u
1363865097991458820 ,2021-02-22 ,20:25:53 ,+0530 ,<AwaaraMusaafir> Did a podcast on the Indian Farm Bills &amp; Farmer's Protes.  Like &amp; Subscribe! 💯  Link -  https://t.co/u4ZnWLLqQU  #TheAwaaraMusaafirShow #IndianFarmers #IndianFarmersProtest #IndianFarmBills #FarmBills2020 #IndianFarmersHumanRights  #IndianPodcast
1363785549325107201 ,2021-02-22 ,15:09:47 ,+0530 ,<daily_khabrain> بھارتی کسانوں کا احتجاج جاری، 40لاکھ ٹریکٹر دہلی لے جانے کی دھمکی  https://t.co/lee5qh5YCE #IndianFarmersProtest #TracktorRally #newsalert #khabrainmediagroup #channelfivepakistan  https://t.co/tuyHnMnd3L
1363671512151187458 ,2021-02-22 ,07:36:38 ,+0530 ,<jchaskaj> @KanganaTeam saali chutaad aunti keep your shit in your mother’s vagina. Hritik roshan se gand fadda ke swaad aya saali bolti hai ravneet bittu ko #indianfarmersprotest #FarmersProstests #jaibharat
1363624251622903808 ,2021-02-22 ,04:28:51 ,+0530 ,<kevint905> #India's farmers protest expands   https://t.co/2CH9mPKEvj   #indianfarmers #indianfarmersprotest #punjab #standwithindianfarmers
1363273284587036678 ,2021-02-21 ,05:14:14 ,+0530 ,<kevint905> US #Farmers and Food Justice Groups Declare “Solidarity” With #IndianFarmersProtest  https://t.co/8vqkyUrkJ7   #india #indianfarmers #standwithindianfarmers
1363102917947973635 ,2021-02-20 ,17:57:15 ,+0530 ,"<dw_environment> A Delhi court is hearing the bail plea moved by Disha Ravi, an accused in the #Toolkit case. Ravi's judicial custody had been extended by three days yesterday after the expiry of her five-day police custody. #IndianFarmersProtest #DishaRavi #Disha  https://t.co/SZiEr5vdi7"
1363045351507324933 ,2021-02-20 ,14:08:30 ,+0530 ,<SanaInParadise> Caption says it all.. #indianfarmersprotest  https://t.co/ikra1XYGYT
1362823068289093632 ,2021-02-19 ,23:25:14 ,+0530 ,<Surjeet00639403> #Dictator #DictatorShip #NoDemocracy #Toolkit #FarmersProtest #DemocracyInDanger #IndianFarmersHumanRights #HumanRights #HumanRightsViolations #IndianFarmersAndLaboursUnity #SpeakUpForFarmers #TheWorldIsWatching #IndianFarmersProtest #KisanMajdoorEktaZindabaad #Farmers #India  https://t.co/HYc3ko0o6x
1362681371873996801 ,2021-02-19 ,14:02:11 ,+0530 ,<ExpressLiveNews> بھارت میں کسانوں کا ملک گیر “ریل روکو ” احتجاج جاری مزید پڑھیے :  https://t.co/kmUTuSY3q0 #IndianFarmers #IndianFarmersProtest  https://t.co/JGDa3kkUNI
